company_id,company_name,broad_sector,cluster_id,cluster_name,distance_from_centroid
ABB,Abbott India Ltd,Industrials,0,Cluster 0,0.6144811642635096
ADANIENSOL,Adani Energy Solutions Ltd,Energy,4,Cluster 4,1.087659069088141
ADANIENT,Adani Enterprises Ltd,Industrials,4,Cluster 4,0.8690898151402728
ADANIGREEN,Adani Green Energy Ltd,Energy,4,Cluster 4,2.4337232691887842
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,4,Cluster 4,0.9116569944552371
ADANIPOWER,Adani Power Ltd,Energy,0,Cluster 0,1.1710658272860628
AMBUJACEM,Ambuja Cements Ltd,Materials,0,Cluster 0,0.6521488579727034
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,0,Cluster 0,0.7738291809270285
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,0,Cluster 0,0.6108848294343622
ATGL,Adani Total Gas Ltd,Energy,4,Cluster 4,0.5680341674944146
AXISBANK,Axis Bank Ltd,Financials,1,Cluster 1,1.9314236355660093
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,0,Cluster 0,0.5478507385517869
BAJAJFINSV,Bajaj Finserv Ltd,Financials,1,Cluster 1,1.043733906392227
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,4,Cluster 4,1.1998399082059883
BAJFINANCE,Bajaj Finance Ltd,Financials,4,Cluster 4,2.4405261307558077
BANKBARODA,Bank of Baroda,Financials,1,Cluster 1,2.0629615940974553
BEL,Bharat Electronics Ltd,Industrials,2,Cluster 2,0.7490891808924234
BHARTIARTL,Bharti Airtel Ltd,Communication Services,0,Cluster 0,0.9400740758025472
BHEL,"Bharat Heavy Electricals Limited
",Industrials,0,Cluster 0,2.076441679126253
BOSCHLTD,Bosch Ltd,Consumer Discretionary,0,Cluster 0,0.7414227759188529
BPCL,Bharat Petroleum Corporation Ltd,Energy,0,Cluster 0,0.26468350309648964
BRITANNIA,Britannia Industries Ltd,Consumer Staples,0,Cluster 0,1.6218352368133047
CANBK,Canara Bank,Financials,1,Cluster 1,2.8581459477336746
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,1,Cluster 1,1.2129837056569825
CIPLA,"Cipla Ltd
",Healthcare,3,Cluster 3,0.0
COALINDIA,Coal India Ltd,Materials,0,Cluster 0,5.573415465663982
DABUR,Dabur India Ltd,Consumer Staples,0,Cluster 0,0.745360242413897
DIVISLAB,Divis Laboratories Ltd,Healthcare,0,Cluster 0,0.7042393828656266
DLF,DLF Ltd,Real Estate,0,Cluster 0,2.137521140669916
DMART,Avenue Supermarts Ltd,Consumer Discretionary,4,Cluster 4,0.7813406763902271
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,0,Cluster 0,1.246935367008027
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,0,Cluster 0,0.4792010789302612
GAIL,GAIL (India) Ltd,Energy,0,Cluster 0,0.4133698526942813
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,0,Cluster 0,0.4511922844509386
GRASIM,Grasim Industries Ltd,Industrials,0,Cluster 0,0.8916081789360542
HAL,Hindustan Aeronautics Ltd,Industrials,2,Cluster 2,0.7490891808924234
HAVELLS,Havells India Ltd,Industrials,0,Cluster 0,0.9475105770317352
HCLTECH,HCL Technologies Ltd,Information Technology,0,Cluster 0,0.6626960365882004
HDFCBANK,HDFC Bank Ltd,Financials,1,Cluster 1,4.99986421955011
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,4,Cluster 4,1.0562250908233677
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,0,Cluster 0,1.096743742405795
HINDALCO,Hindalco Industries Ltd,Materials,0,Cluster 0,2.6778984131591987
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,0,Cluster 0,1.5778042955158256
ICICIBANK,ICICI Bank Ltd,Financials,1,Cluster 1,1.294257329105673
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,0,Cluster 0,0.9052588233302882
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,0,Cluster 0,2.302333779292727
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,4,Cluster 4,2.8267571254783572
INDUSINDBK,IndusInd Bank Ltd,Financials,1,Cluster 1,0.791834019814049
INFY,Infosys Ltd,Information Technology,0,Cluster 0,0.5791079166732955
IOC,"Indian Oil Corporation
",Energy,0,Cluster 0,0.29925548198437313
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,4,Cluster 4,1.1128118949449226
IRFC,Indian Railway Finance Corporation Ltd,Financials,1,Cluster 1,0.7589240113639865
ITC,"ITC Ltd
",Consumer Staples,0,Cluster 0,0.4986980243905161
JINDALSTEL,Jindal Steel & Power Ltd,Materials,0,Cluster 0,1.1072196964132988
JIOFIN,Jio Financial Services Ltd,Financials,0,Cluster 0,1.2429484070825003
JSWENERGY,JSW Energy Ltd,Energy,0,Cluster 0,0.7722698532173516
JSWSTEEL,JSW Steel Ltd,Materials,0,Cluster 0,0.9077434574928984
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,1,Cluster 1,1.6181243765089315
LICI,Life Insurance Corporation of India,Financials,0,Cluster 0,1.939989830826784
LODHA,Macrotech Developers Ltd,Real Estate,0,Cluster 0,1.844159977029573
LT,Larsen & Toubro Ltd,Industrials,0,Cluster 0,0.7918328837190945
LTIM,LTIMindtree Ltd,Information Technology,4,Cluster 4,1.0177051365124277
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,0,Cluster 0,0.6674361840691688
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,0,Cluster 0,0.29415018421792555
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,0,Cluster 0,0.43474711349741435
NAUKRI,Info Edge (India) Ltd,Communication Services,0,Cluster 0,1.0893442697108477
NESTLEIND,Nestle India Ltd,Consumer Staples,0,Cluster 0,0.782122780820553
NHPC,"NHPC Ltd
",Energy,0,Cluster 0,1.4482743599840864
NTPC,NTPC Ltd,Energy,0,Cluster 0,0.5726338945600096
ONGC,Oil & Natural Gas Corpn Ltd,Energy,0,Cluster 0,0.3805097980025166
PFC,Power Finance Corporation Ltd,Financials,1,Cluster 1,1.0370691100332563
PIDILITIND,Pidilite Industries Ltd,Materials,0,Cluster 0,0.6114738740400761
PNB,Punjab National Bank,Financials,1,Cluster 1,1.2129700907466994
POWERGRID,Power Grid Corporation of India Ltd,Energy,0,Cluster 0,1.1812169827526724
RECLTD,REC Ltd,Financials,1,Cluster 1,0.64152793924101
RELIANCE,"Reliance Industries Ltd
",Energy,0,Cluster 0,0.22102049568367954
SBILIFE,SBI Life Insurance Company Ltd,Financials,4,Cluster 4,1.012908783069339
SBIN,State Bank of India,Financials,1,Cluster 1,1.1894620828238829
SHREECEM,Shree Cement Ltd,Materials,0,Cluster 0,0.2806580696239166
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,1,Cluster 1,1.1367438186135532
SIEMENS,Siemens Ltd,Industrials,0,Cluster 0,1.4739977813237781
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,0,Cluster 0,1.142014546384273
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,0,Cluster 0,1.8041000465795887
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,0,Cluster 0,0.4125318555136802
TATAPOWER,"Tata Power Company Ltd
",Energy,0,Cluster 0,1.060628097158088
TATASTEEL,"Tata Steel Ltd
",Materials,0,Cluster 0,0.3425741315228588
TCS,Tata Consultancy Services Ltd,Information Technology,0,Cluster 0,0.2796319808278356
TECHM,Tech Mahindra Ltd,Information Technology,0,Cluster 0,0.3502022743665495
TITAN,"Titan Company Ltd
",Consumer Discretionary,4,Cluster 4,0.5958642763468203
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,0,Cluster 0,0.42042853607728015
TRENT,Trent Ltd,Consumer Discretionary,4,Cluster 4,1.7721527429400559
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,1,Cluster 1,1.3031102528921505
